relation_id,relation_label,metric,metric_label,target,target_label,group,target_mean
co2_direct,CO2 inventario -> CO2 sensores,emisiones_totales_co2_g,Emisiones CO2 inventario,CO2,CO2 observado,bajo,536.7534812577077
co2_direct,CO2 inventario -> CO2 sensores,emisiones_totales_co2_g,Emisiones CO2 inventario,CO2,CO2 observado,medio,521.2306697222008
co2_direct,CO2 inventario -> CO2 sensores,emisiones_totales_co2_g,Emisiones CO2 inventario,CO2,CO2 observado,alto,535.1483514899382
no2_direct,NOx inventario -> NO2 sensores,emisiones_totales_nox_g,Emisiones NOx inventario,NO2,NO2 observado,bajo,34.73741526309814
no2_direct,NOx inventario -> NO2 sensores,emisiones_totales_nox_g,Emisiones NOx inventario,NO2,NO2 observado,medio,38.06609607755727
no2_direct,NOx inventario -> NO2 sensores,emisiones_totales_nox_g,Emisiones NOx inventario,NO2,NO2 observado,alto,36.521085744533224
no2_activity,Actividad del inventario -> NO2 sensores,trips_total,Trayectos totales,NO2,NO2 observado,bajo,34.477396650380754
no2_activity,Actividad del inventario -> NO2 sensores,trips_total,Trayectos totales,NO2,NO2 observado,medio,38.348143723733216
no2_activity,Actividad del inventario -> NO2 sensores,trips_total,Trayectos totales,NO2,NO2 observado,alto,36.585729581980466
