model_id,model_title,outcome,outcome_label,regressor,regressor_label,coefficient,std_error,t_value,p_value,ci_low,ci_high,r2,n_obs,iqr_x,iqr_effect,story
co2_direct_raw,CO2 ~ emisiones_totales_co2_g,CO2,CO2 observado,emisiones_totales_co2_g,Emisiones CO2 inventario,1.1386709179103238e-05,0.00012363195913667782,0.09210166415396673,0.9288818493596401,-0.00023093193072878528,0.00025370534908699175,0.0013952158051235841,10,188866.34325000003,2.150566124308438,Relación directa del mismo día entre la masa diaria de CO2 del inventario y el CO2 medio observado por sensores.
co2_direct_meteo,CO2 ~ emisiones_totales_co2_g + meteo,CO2,CO2 observado,emisiones_totales_co2_g,Emisiones CO2 inventario,-8.154291765561338e-05,8.84091324878077e-05,-0.9223359098887072,0.39867517543916675,-0.0002548248173317165,9.17389820204897e-05,0.46726848601921955,10,188866.34325000003,-15.400712675551564,"Misma relación directa, pero ajustando por meteorología diaria."
co2_direct_meteo,CO2 ~ emisiones_totales_co2_g + meteo,CO2,CO2 observado,temperature,Temperatura,3.919721399979395,7.287185635836758,0.5378923490988177,0.6137207967999055,-10.363162446260652,18.20260524621944,0.46726848601921955,10,1.5415207944707916,6.0423320466004,"Misma relación directa, pero ajustando por meteorología diaria."
co2_direct_meteo,CO2 ~ emisiones_totales_co2_g + meteo,CO2,CO2 observado,relativehumidity,Humedad relativa,0.5427731230857106,2.0349168144018748,0.2667298826390839,0.800328159616986,-3.445663833141964,4.531210079313385,0.46726848601921955,10,5.855405528895119,3.178156745851741,"Misma relación directa, pero ajustando por meteorología diaria."
co2_direct_meteo,CO2 ~ emisiones_totales_co2_g + meteo,CO2,CO2 observado,atmosphericpressure,Presion atmosferica,8.19156591264279,0.16267634076287465,50.35499246066295,5.837915753632253e-08,7.872720284747556,8.510411540538025,0.46726848601921955,10,3.8806710950793786,31.788773060630408,"Misma relación directa, pero ajustando por meteorología diaria."
no2_direct_raw,NO2 ~ emisiones_totales_nox_g,NO2,NO2 observado,emisiones_totales_nox_g,Emisiones NOx inventario,0.008541233226448236,0.00636769930354994,1.3413373997868538,0.21664144453460216,-0.003939457408509647,0.021021923861406118,0.0671478919470283,10,131.06780250000003,1.1194806696305553,Relación directa del mismo día entre la masa diaria de NOx del inventario y el NO2 medio observado.
no2_direct_meteo,NO2 ~ emisiones_totales_nox_g + meteo,NO2,NO2 observado,emisiones_totales_nox_g,Emisiones NOx inventario,-0.0027214817476666625,0.00626685184114675,-0.43426617010442486,0.682196139342605,-0.015004511356314292,0.009561547860980967,0.9036318268256065,10,131.06780250000003,-0.35669863221052905,Relación directa NOx-NO2 del mismo día ajustada por meteorología.
no2_direct_meteo,NO2 ~ emisiones_totales_nox_g + meteo,NO2,NO2 observado,temperature,Temperatura,0.28585254428651186,0.3332784850648567,0.8576987627355673,0.43024326513118866,-0.3673732864406073,0.939078375013631,0.9036318268256065,10,1.5415207944707916,0.4406476411700409,Relación directa NOx-NO2 del mismo día ajustada por meteorología.
no2_direct_meteo,NO2 ~ emisiones_totales_nox_g + meteo,NO2,NO2 observado,relativehumidity,Humedad relativa,-0.6057729794390893,0.10955428980766409,-5.529431850661417,0.002652184651863985,-0.8204993874621109,-0.39104657141606763,0.9036318268256065,10,5.855405528895119,-3.5470464530629124,Relación directa NOx-NO2 del mismo día ajustada por meteorología.
no2_direct_meteo,NO2 ~ emisiones_totales_nox_g + meteo,NO2,NO2 observado,atmosphericpressure,Presion atmosferica,-0.04245619021132473,0.13416040768784554,-0.31645841677902947,0.7644397708427901,-0.305410589279502,0.2204982088568525,0.9036318268256065,10,3.8806710950793786,-0.16475851016027995,Relación directa NOx-NO2 del mismo día ajustada por meteorología.
no2_activity_raw,NO2 ~ trips_total,NO2,NO2 observado,trips_total,Trayectos totales,0.009022464392188567,0.0038595554626367702,2.3376952292906297,0.0475865926937825,0.001457735685420498,0.016587193098956635,0.35993614032399746,10,321.75,2.9029779181866715,Lectura auxiliar para comprobar si NO2 sigue mejor la actividad diaria que la masa total de NOx.
no2_activity_meteo,NO2 ~ trips_total + meteo,NO2,NO2 observado,trips_total,Trayectos totales,-0.0022376584102886295,0.004310343857468607,-0.5191368680276865,0.6258173612191886,-0.010685932370927098,0.0062106155503498395,0.9051538387887592,10,321.75,-0.7199665935103665,Lectura auxiliar NO2-actividad ajustada por meteorología diaria.
no2_activity_meteo,NO2 ~ trips_total + meteo,NO2,NO2 observado,temperature,Temperatura,0.28799597458229603,0.3268119711490627,0.8812283514881949,0.41853388585115553,-0.3525554888698668,0.9285474380344589,0.9051538387887592,10,1.5415207944707916,0.4439517835424909,Lectura auxiliar NO2-actividad ajustada por meteorología diaria.
no2_activity_meteo,NO2 ~ trips_total + meteo,NO2,NO2 observado,relativehumidity,Humedad relativa,-0.6568822932146913,0.17002867465683427,-3.8633618390572333,0.011839588774244935,-0.9901384955420864,-0.3236260908872961,0.9051538387887592,10,5.855405528895119,-3.846312211522608,Lectura auxiliar NO2-actividad ajustada por meteorología diaria.
no2_activity_meteo,NO2 ~ trips_total + meteo,NO2,NO2 observado,atmosphericpressure,Presion atmosferica,-0.004836129539039429,0.17369818550729127,-0.027842141959717966,0.9788651498878106,-0.34528457313333033,0.33561231405525144,0.9051538387887592,10,3.8806710950793786,-0.018767428114209873,Lectura auxiliar NO2-actividad ajustada por meteorología diaria.
